ID,Тип,Артикул,Имя,Опубликован,рекомендуемый?,Видимость в каталоге,Короткое описание,Описание,Дата начала действия продажной цены,Дата окончания действия продажной цены,Статус налога,Налоговый класс,В наличии?,Запасы,Задержанный заказ возможен?,Продано индивидуально?,Вес (kg),Длина (cm),Ширина (cm),Высота (cm),Разрешить отзывы от клиентов?,Примечание к покупке,Цена распродажи,Базовая цена,Категории,Метки,Класс доставки,Изображения,Лимит загрузок,Число дней до просроченной загрузки,Родительский,Сгруппированные товары,Апсейл,Кросселы,Внешний URL,Текст кнопки,Позиция,Имя атрибута 1,Значение(-я) аттрибута(-ов) 1,Видимость атрибута 1,Глобальный атрибут 1
,simple,90236,Hunter cветящийся шнурок на шею LED Yukon 20-70 см голубой,1,0,visible,,"Hunter cветящийся шнурок на шею LED  20-70 см диаметр 1 см голубой <br><br> Практичный светодиодный силиконовый шнурок. Видимость до 500 метров. Аккумулятор заряжается через USB. Водостойкий. 2 режима свечения (мигание и постоянный режим). Для уменьшения размера, просто отрежьте кусочек шнура ножницами. Время непрерывной работы 2-3 часа. Время полной зарядки около 60 минут.",,,taxable,,1,,0,0,,,,,0,,,974.00,Собаки > Ошейники,,,"http://tin29.ru/wp-content/uploads/2018/hunter/0a694969-0b8a-11e5-80c7-00155d298300.jpg, http://tin29.ru/wp-content/uploads/2018/hunter/0a694969-0b8a-11e5-80c7-00155d298300_2.jpg, http://tin29.ru/wp-content/uploads/2018/hunter/0a694969-0b8a-11e5-80c7-00155d298300_3.jpg, http://tin29.ru/wp-content/uploads/2018/hunter/0a694969-0b8a-11e5-80c7-00155d298300_4.jpg, http://tin29.ru/wp-content/uploads/2018/hunter/0a694969-0b8a-11e5-80c7-00155d298300_5.jpg, http://tin29.ru/wp-content/uploads/2018/hunter/0a694969-0b8a-11e5-80c7-00155d298300_6.jpg, http://tin29.ru/wp-content/uploads/2018/hunter/0a694969-0b8a-11e5-80c7-00155d298300_7.jpg",,,,,,,,,1,Производитель,Hunter,1,1
,simple,92354,Hunter cветящийся шнурок на шею LED Yukon 20-70 см лайм,1,0,visible,,"Hunter cветящийся шнурок на шею LED  20-70 см диаметр 1 см лайм <br><br> Практичный светодиодный силиконовый шнурок. Видимость до 500 метров. Аккумулятор заряжается через USB. Водостойкий. 2 режима свечения (мигание и постоянный режим). Для уменьшения размера, просто отрежьте кусочек шнура ножницами. Время непрерывной работы 2-3 часа. Время полной зарядки около 60 минут.",,,taxable,,1,,0,0,,,,,0,,,974.00,Собаки > Ошейники,,,"http://tin29.ru/wp-content/uploads/2018/hunter/5340b956-0b8a-11e5-80c7-00155d298300.jpg, http://tin29.ru/wp-content/uploads/2018/hunter/5340b956-0b8a-11e5-80c7-00155d298300_2.jpg, http://tin29.ru/wp-content/uploads/2018/hunter/5340b956-0b8a-11e5-80c7-00155d298300_3.jpg, http://tin29.ru/wp-content/uploads/2018/hunter/5340b956-0b8a-11e5-80c7-00155d298300_4.jpg, http://tin29.ru/wp-content/uploads/2018/hunter/5340b956-0b8a-11e5-80c7-00155d298300_5.jpg, http://tin29.ru/wp-content/uploads/2018/hunter/5340b956-0b8a-11e5-80c7-00155d298300_6.jpg, http://tin29.ru/wp-content/uploads/2018/hunter/5340b956-0b8a-11e5-80c7-00155d298300_7.jpg, http://tin29.ru/wp-content/uploads/2018/hunter/5340b956-0b8a-11e5-80c7-00155d298300_8.jpg",,,,,,,,,1,Производитель,Hunter,1,1
,simple,92353,Hunter cветящийся шнурок на шею LED Yukon 20-70 см оранжевый,1,0,visible,,"Hunter cветящийся шнурок на шею LED  20-70 см диаметр 1 см оранжевый <br><br> Практичный светодиодный силиконовый шнурок. Видимость до 500 метров. Аккумулятор заряжается через USB. Водостойкий. 2 режима свечения (мигание и постоянный режим). Для уменьшения размера, просто отрежьте кусочек шнура ножницами. Время непрерывной работы 2-3 часа. Время полной зарядки около 60 минут.",,,taxable,,1,,0,0,,,,,0,,,974.00,Собаки > Ошейники,,,"http://tin29.ru/wp-content/uploads/2018/hunter/2e5c7acf-0b8a-11e5-80c7-00155d298300.jpg, http://tin29.ru/wp-content/uploads/2018/hunter/2e5c7acf-0b8a-11e5-80c7-00155d298300_2.jpg, http://tin29.ru/wp-content/uploads/2018/hunter/2e5c7acf-0b8a-11e5-80c7-00155d298300_3.jpg, http://tin29.ru/wp-content/uploads/2018/hunter/2e5c7acf-0b8a-11e5-80c7-00155d298300_4.jpg, http://tin29.ru/wp-content/uploads/2018/hunter/2e5c7acf-0b8a-11e5-80c7-00155d298300_5.jpg, http://tin29.ru/wp-content/uploads/2018/hunter/2e5c7acf-0b8a-11e5-80c7-00155d298300_6.jpg, http://tin29.ru/wp-content/uploads/2018/hunter/2e5c7acf-0b8a-11e5-80c7-00155d298300_7.jpg, http://tin29.ru/wp-content/uploads/2018/hunter/2e5c7acf-0b8a-11e5-80c7-00155d298300_8.jpg",,,,,,,,,1,Производитель,Hunter,1,1
,simple,90235,Hunter cветящийся шнурок на шею LED Yukon 20-70 см розовый,1,0,visible,,"Hunter cветящийся шнурок на шею LED  20-70 см диаметр 1 см розовый <br><br>  
Практичный светодиодный силиконовый шнурок. Видимость до 500 метров. Аккумулятор заряжается через USB. Водостойкий. 2 режима свечения (мигание и постоянный режим). Для уменьшения размера, просто отрежьте кусочек шнура ножницами. Время непрерывной работы 2-3 часа. Время полной зарядки около 60 минут.",,,taxable,,1,,0,0,,,,,0,,,974.00,Собаки > Ошейники,,,"http://tin29.ru/wp-content/uploads/2018/hunter/15621fb2-0b88-11e5-80c7-00155d298300.jpg, http://tin29.ru/wp-content/uploads/2018/hunter/15621fb2-0b88-11e5-80c7-00155d298300_2.jpg, http://tin29.ru/wp-content/uploads/2018/hunter/15621fb2-0b88-11e5-80c7-00155d298300_3.jpg, http://tin29.ru/wp-content/uploads/2018/hunter/15621fb2-0b88-11e5-80c7-00155d298300_4.jpg, http://tin29.ru/wp-content/uploads/2018/hunter/15621fb2-0b88-11e5-80c7-00155d298300_5.jpg, http://tin29.ru/wp-content/uploads/2018/hunter/15621fb2-0b88-11e5-80c7-00155d298300_6.jpg, http://tin29.ru/wp-content/uploads/2018/hunter/15621fb2-0b88-11e5-80c7-00155d298300_7.jpg",,,,,,,,,1,Производитель,Hunter,1,1
,simple,93108,"Hunter LED Ошейник Manoa Glow L (55-60)/2,5 желтый",1,0,visible,,"Ошейник LED светодиодный. <br>
Зарядка через USB. <br>
Дополнительные отражающие полосы улучшают видимость при выключении светодиодов. <br>
3 режима работы: быстрое мигание, медленное мигание и постоянный свет. <br>
Режимы переключаются нажатием кнопки. Заряжается ошейник в течении 30 минут - 1 часа. При зарядке горит красный индикатор. Зарядки хватает на 4 часа работы.<br>
Обхват шеи 55-60 см.",,,taxable,,1,,0,0,,,,,0,,,1964.00,Собаки > Ошейники,,,"http://tin29.ru/wp-content/uploads/2018/hunter/0a04b1d2-afe4-11e7-812a-005056bf23ce.jpg, http://tin29.ru/wp-content/uploads/2018/hunter/0a04b1d2-afe4-11e7-812a-005056bf23ce_2.jpg, http://tin29.ru/wp-content/uploads/2018/hunter/0a04b1d2-afe4-11e7-812a-005056bf23ce_3.jpg, http://tin29.ru/wp-content/uploads/2018/hunter/0a04b1d2-afe4-11e7-812a-005056bf23ce_4.jpg, http://tin29.ru/wp-content/uploads/2018/hunter/0a04b1d2-afe4-11e7-812a-005056bf23ce_5.jpg",,,,,,,,,1,Производитель,Hunter,1,1
,simple,93104,"Hunter LED Ошейник Manoa Glow L (55-60)/2,5 оранжевый",1,0,visible,,"Ошейник LED светодиодный. <br>
Зарядка через USB. <br>
Дополнительные отражающие полосы улучшают видимость при выключении светодиодов. <br>
3 режима работы: быстрое мигание, медленное мигание и постоянный свет. <br>
Режимы переключаются нажатием кнопки. Заряжается ошейник в течении 30 минут - 1 часа. При зарядке горит красный индикатор. Зарядки хватает на 4 часа работы.
Обхват шеи 55-60 см.",,,taxable,,1,,0,0,,,,,0,,,1964.00,Собаки > Ошейники,,,"http://tin29.ru/wp-content/uploads/2018/hunter/ae2db1fb-afe4-11e7-812a-005056bf23ce.jpg, http://tin29.ru/wp-content/uploads/2018/hunter/ae2db1fb-afe4-11e7-812a-005056bf23ce_2.jpg, http://tin29.ru/wp-content/uploads/2018/hunter/ae2db1fb-afe4-11e7-812a-005056bf23ce_3.jpg, http://tin29.ru/wp-content/uploads/2018/hunter/ae2db1fb-afe4-11e7-812a-005056bf23ce_4.jpg, http://tin29.ru/wp-content/uploads/2018/hunter/ae2db1fb-afe4-11e7-812a-005056bf23ce_5.jpg",,,,,,,,,1,Производитель,Hunter,1,1
,simple,93107,"Hunter LED Ошейник Manoa Glow M (50-55)/2,5 желтый",1,0,visible,,"Ошейник LED светодиодный. <br>
Зарядка через USB. <br>
Дополнительные отражающие полосы улучшают видимость при выключении светодиодов. <br>
3 режима работы: быстрое мигание, медленное мигание и постоянный свет. <br>
Режимы переключаются нажатием кнопки. Заряжается ошейник в течении 30 минут - 1 часа. При зарядке горит красный индикатор. Зарядки хватает на 4 часа работы.<br>Обхват шеи 50 - 55 см.",,,taxable,,1,,0,0,,,,,0,,,1891.00,Собаки > Ошейники,,,"http://tin29.ru/wp-content/uploads/2018/hunter/d77ff634-afe3-11e7-812a-005056bf23ce.jpg, http://tin29.ru/wp-content/uploads/2018/hunter/d77ff634-afe3-11e7-812a-005056bf23ce_2.jpg, http://tin29.ru/wp-content/uploads/2018/hunter/d77ff634-afe3-11e7-812a-005056bf23ce_3.jpg, http://tin29.ru/wp-content/uploads/2018/hunter/d77ff634-afe3-11e7-812a-005056bf23ce_4.jpg, http://tin29.ru/wp-content/uploads/2018/hunter/d77ff634-afe3-11e7-812a-005056bf23ce_5.jpg",,,,,,,,,1,Производитель,Hunter,1,1
,simple,93103,"Hunter LED Ошейник Manoa Glow M (50-55)/2,5 оранжевый",1,0,visible,,"Ошейник LED светодиодный. <br>
Зарядка через USB. <br>
Дополнительные отражающие полосы улучшают видимость при выключении светодиодов. <br>
3 режима работы: быстрое мигание, медленное мигание и постоянный свет. <br>
Режимы переключаются нажатием кнопки. Заряжается ошейник в течении 30 минут - 1 часа. При зарядке горит красный индикатор. Зарядки хватает на 4 часа работы.<br>
Обхват шеи 50 - 55 см.",,,taxable,,1,,0,0,,,,,0,,,1891.00,Собаки > Ошейники,,,"http://tin29.ru/wp-content/uploads/2018/hunter/7f67a10e-afe4-11e7-812a-005056bf23ce.jpg, http://tin29.ru/wp-content/uploads/2018/hunter/7f67a10e-afe4-11e7-812a-005056bf23ce_2.jpg, http://tin29.ru/wp-content/uploads/2018/hunter/7f67a10e-afe4-11e7-812a-005056bf23ce_3.jpg, http://tin29.ru/wp-content/uploads/2018/hunter/7f67a10e-afe4-11e7-812a-005056bf23ce_4.jpg",,,,,,,,,1,Производитель,Hunter,1,1
,simple,93106,"Hunter LED Ошейник Manoa Glow S (45-50)/2,5 желтый",1,0,visible,,"Ошейник LED светодиодный. <br>
Зарядка через USB. <br>
Дополнительные отражающие полосы улучшают видимость при выключении светодиодов. <br>
3 режима работы: быстрое мигание, медленное мигание и постоянный свет. <br>
Режимы переключаются нажатием кнопки. Заряжается ошейник в течении 30 минут - 1 часа. При зарядке горит красный индикатор. Зарядки хватает на 4 часа работы.<br>Обхват шеи 45 - 50 см.",,,taxable,,1,,0,0,,,,,0,,,1818.00,Собаки > Ошейники,,,"http://tin29.ru/wp-content/uploads/2018/hunter/9c26ff97-afe3-11e7-812a-005056bf23ce.jpg, http://tin29.ru/wp-content/uploads/2018/hunter/9c26ff97-afe3-11e7-812a-005056bf23ce_2.jpg, http://tin29.ru/wp-content/uploads/2018/hunter/9c26ff97-afe3-11e7-812a-005056bf23ce_3.jpg, http://tin29.ru/wp-content/uploads/2018/hunter/9c26ff97-afe3-11e7-812a-005056bf23ce_4.jpg, http://tin29.ru/wp-content/uploads/2018/hunter/9c26ff97-afe3-11e7-812a-005056bf23ce_5.jpg",,,,,,,,,1,Производитель,Hunter,1,1
,simple,93102,"Hunter LED Ошейник Manoa Glow S (45-50)/2,5 оранжевый",1,0,visible,,"Ошейник LED светодиодный. <br>
Зарядка через USB. <br>
Дополнительные отражающие полосы улучшают видимость при выключении светодиодов. <br>
3 режима работы: быстрое мигание, медленное мигание и постоянный свет. <br>
Режимы переключаются нажатием кнопки. Заряжается ошейник в течении 30 минут - 1 часа. При зарядке горит красный индикатор. Зарядки хватает на 4 часа работы.<br>Обхват шеи 45 - 50 см.",,,taxable,,1,,0,0,,,,,0,,,1818.00,Собаки > Ошейники,,,"http://tin29.ru/wp-content/uploads/2018/hunter/48d732c7-afe4-11e7-812a-005056bf23ce.jpg, http://tin29.ru/wp-content/uploads/2018/hunter/48d732c7-afe4-11e7-812a-005056bf23ce_2.jpg, http://tin29.ru/wp-content/uploads/2018/hunter/48d732c7-afe4-11e7-812a-005056bf23ce_3.jpg, http://tin29.ru/wp-content/uploads/2018/hunter/48d732c7-afe4-11e7-812a-005056bf23ce_4.jpg",,,,,,,,,1,Производитель,Hunter,1,1
